wavelength_nm,S11a,S12a,S13a,S21a,S22a,S23a,S31a,S32a,S33a,S11m,S12m,S13m,S21m,S22m,S23m,S31m,S32m,S33m
1302.8720626631857,206.65501573841254,203.54734907439735,167.45194962913908,203.547353234405,206.65506820325206,167.45222661871685,167.45202849734596,167.4523136965668,188.13126080292895,0.1569947205486386,0.13790595999816,0.6346979017759776,0.13790647320415658,0.15707626536889233,0.6346130266268198,0.6343775622941562,0.6342984267269876,0.033109773753051644
1301.1734028683184,207.439962768574,204.33171233197513,168.10185110138596,204.33171657345363,207.44050991195056,168.10213805474973,168.10181509174453,168.1021133483308,188.9287896912209,0.15681847985341202,0.13732344926596213,0.634328668851601,0.13732413273621996,0.15683624318780204,0.6342263425076313,0.6339609608251694,0.6338638705063898,0.03331951610557458
1299.4791666666667,208.22360758612245,205.11501270169603,168.75223769619956,205.11501616292514,208.22451428031553,168.75252205801084,168.7520622224328,168.75235965291463,189.7197432274854,0.15707084496435192,0.1368813420561208,0.6334875692441136,0.13688213406757666,0.15702683857755292,0.6333647758400611,0.6331274686323838,0.6330082813557296,0.03375974512952278
1297.7893368010402,209.00483597123662,205.89777578061867,169.40280685362637,205.89777829083692,209.00580338478701,169.40307487314732,169.40253481693946,169.40281539924396,190.50321546525134,0.15774855945091873,0.13664662820248005,0.6321233208764796,0.13664738888098618,0.15765411185294093,0.6319820030328954,0.6318311838077587,0.631691602748959,0.034254573349752036
1296.1038961038962,209.7833796940813,206.68070085107232,170.05325015680796,206.68070267510728,209.78407109773514,170.0534913348038,170.05299211612697,170.05324349385256,191.28141447014875,0.15866986709784184,0.13664577479770004,0.6302747107994663,0.13664634593552857,0.15853986985603494,0.6301214533846241,0.630081946987616,0.6299293562057872,0.03462721124331967
1294.4228274967575,210.56032144526517,207.46454222863048,170.7033217461838,207.4645437592495,210.56050517670943,170.7035324478427,170.7032100391202,170.70342807432175,192.05820583501702,0.15956813340816878,0.13685529829148524,0.6280577324853431,0.13685562638538584,0.15941995645188764,0.6279018957316228,0.6279368563257612,0.6277818928135104,0.034784855109332
1292.746113989637,211.3378971237786,208.24995099070364,171.3528849979251,208.24995278876915,211.33753876397142,171.35307000781006,171.35299513209245,171.35318534767185,192.83683804021777,0.16024440576769314,0.1372066790699203,0.6256321023126763,0.1372068653187495,0.1600996793440501,0.6254829531370792,0.6254973201884185,0.6253503314658287,0.03475993500745866
1291.0737386804656,212.11863519778237,209.03733660601824,172.00192358923437,209.03733931151405,212.11790315787738,172.00209495055446,172.0022128428144,172.00238867994443,193.6178123321521,0.16069672488848566,0.1376037317018025,0.6231583195884953,0.13760393492796708,0.16058231081440383,0.6230220708121186,0.6229069922008343,0.6227747996367268,0.034685615818705925
1289.405684754522,212.90417480687157,209.82678472225805,172.6505115755554,209.82678845370216,212.9033621841766,172.65068491125874,172.65082503305945,172.65100385123748,194.39798310574,0.16114564204827478,0.13794408632564722,0.6207609203812148,0.13794438840235188,0.16109097611930834,0.6206386701487696,0.6203341960158335,0.620217983039241,0.03471219246428125
1287.741935483871,213.69429335978478,210.61803118926358,173.2987554151254,210.61803510474132,213.693691912226,173.2989448265254,173.2989043142559,173.29910197592258,195.17197552862558,0.1619190509251253,0.13813765612939025,0.6185147478775798,0.13813804470993699,0.16194847772457027,0.6184020645212851,0.6179375651788283,0.6178322888504986,0.03491084428744543
1286.0824742268044,214.48676985588142,211.41048956200189,173.94674161506578,211.4104924969265,214.48655680775965,173.94695485886615,173.94660788498342,173.94683302801286,195.9356624366254,0.1632391385060667,0.1381206069304197,0.6164608288511116,0.13812106068910726,0.16336009526415032,0.6163492050750365,0.6158351188513537,0.6157309050447531,0.03523170298868376
1284.4272844272846,215.27841649939032,212.2033464718458,174.59452498360818,212.2033482515218,215.27861096454174,174.59476066141295,174.59413239154443,174.5943826034523,196.68951014369327,0.16503533928923214,0.13786580769275436,0.6146391090664522,0.13786633108915325,0.16522741065592672,0.6145188665322553,0.614094421853202,0.61398005503715,0.03554652363828118
1282.776349614396,216.06680018550622,212.995728505588,175.24216588442192,212.99573039341257,216.06729875023723,175.24241376435808,175.24168160737034,175.24194395856372,197.43965239709675,0.16691779205058105,0.13738860709430126,0.6131121270712934,0.13738916340862864,0.16713078498301406,0.6129758058442925,0.612738948200847,0.6126063244835771,0.03574231292014371
1281.1296534017972,216.8515571738742,213.78690145656603,175.88978941598324,213.78690504653278,216.8522070291556,175.8900339215378,175.88945095489453,175.8897072502164,198.19630570761856,0.1683485898965643,0.13674553707062426,0.6119586904421538,0.13674600980962645,0.1685147566529955,0.6118037277882036,0.611754680513971,0.6116020495270573,0.035811771023791225
1279.4871794871794,217.63452410494253,214.57643779458007,176.5376213804481,214.57644353865032,217.63518668487922,176.53784710187168,176.53761166480135,176.53784576512066,198.9700419334101,0.16891721640766652,0.13602590366474687,0.6112357210604172,0.13602618529916644,0.16897453390177902,0.611065433043831,0.6110932873816884,0.6109256481004922,0.03590720154384833
1277.8489116517287,218.41873870400426,215.36431050371232,177.1859642695272,215.3643174468757,218.41932271945166,177.1861615286467,177.18629170829306,177.1864952932946,199.76648751853403,0.16856904318038166,0.13533802151402374,0.6109267170127641,0.13533812328136438,0.16848572103448495,0.6107491868853689,0.6106807366197059,0.6105075437007699,0.0363256491862704
1276.214833759591,219.2068590090098,216.1509067168439,177.83510557494998,216.15091342164442,219.20731874171233,177.8352739672838,177.8355708014003,177.83574565385254,200.5816311360194,0.16766613674292158,0.13479011208798272,0.6109079349816322,0.1347901311377522,0.16745543008517136,0.6107331642548589,0.6104321273186922,0.6102637529818838,0.03737418275733945
1274.5849297573434,219.99967209050635,216.93696000146,178.4851928857715,216.93696535924067,219.99997458241236,178.4853414314866,178.48549353474502,178.48565049780882,201.40270997646314,0.16683385324957514,0.13446509833989692,0.6109628267319318,0.13446507435475674,0.16655211313800147,0.6107991414026729,0.6102592580835583,0.6101035303234826,0.039126356733794165
1272.9591836734694,220.79546077823284,217.72339272421257,179.13614822049158,217.72339603862414,220.7955465480813,179.1362920177001,179.13607458977182,179.13622985553866,202.21647657638073,0.16664780873038668,0.1343937035918024,0.6108535967080821,0.13439356202027303,0.16637548419132359,0.6107046003504156,0.6100641061928632,0.609923633144846,0.04124713745470453
1271.3375796178343,221.5908439054815,218.51108736678725,179.7876914281833,218.5110884062799,221.59062689508136,179.78784600357784,179.78727375205793,179.78744302533784,203.01748165708824,0.1673252300934958,0.1345374214177851,0.610417876497269,0.13453708561247898,0.16713819364387772,0.610281089986806,0.6097343635351911,0.6096053621112485,0.043083009070455716
1269.7201017811706,222.38280038831104,219.30066036236354,180.43947530295247,219.30065985785976,222.38222611630016,180.43965069009616,180.43896130662708,180.43915339233763,203.8094995856295,0.16861787245985313,0.13479261365868564,0.6096279795280746,0.1347921341655296,0.16856126934913065,0.6094957244852875,0.6091627052971439,0.6090362151525207,0.043975171106698026
1268.1067344345615,223.1705257489128,220.09232596454922,181.0912439180746,220.09232573063076,223.16964368875222,181.09144059723883,181.09092053485824,181.0911332984363,204.60210488187735,0.16998279072795938,0.13501674756976542,0.6085693259617496,0.13501627909688627,0.17005781877663703,0.6084315883758202,0.6082860914500713,0.6081515942133394,0.04358869058199445
1266.497461928934,223.9558812339307,220.88587823321174,181.74290060951944,220.88588006042914,223.95486999534808,181.74310883363793,181.74290365888362,181.74312472598385,205.4061229514765,0.1709144261751395,0.13506619764824573,0.6073594518228649,0.1350658729461987,0.17108169879801088,0.6072077266217446,0.6071152273005055,0.6069650755303201,0.04210043096491465
1264.89226869455,224.7423186493746,221.68074619576768,182.3944520009287,221.68075033390156,224.74144493654663,182.39465491440887,182.3947057101055,182.39491744354245,206.2278531496867,0.1712316616019469,0.1348319834688057,0.6060786166622364,0.13483186084099183,0.17142842343297857,0.60590935526722,0.6057312607001999,0.6055636851320948,0.04016638616924496
1263.2911392405063,225.53298905600744,222.47607103490117,183.04590571116307,222.47607604176667,225.53251917020154,183.04608534554484,183.04621061271382,183.04639657399306,207.06165484674796,0.17116714227742783,0.13426521246019676,0.604764606489764,0.13426532409520925,0.17133127567418963,0.6045809673503848,0.6042575713617484,0.6040771680546382,0.03862277232021396
1261.694058154235,226.32896093250864,223.27081137964421,183.69722891034237,223.2708156654789,226.32905282938125,183.69737300421517,183.6974011585167,183.69755153205026,207.88731287998533,0.1712149983979945,0.13338945654825174,0.6034573274552197,0.13338980832835506,0.1713058380763472,0.6032684559050432,0.6028303045538324,0.6026464426311476,0.03800450748768685
1260.10101010101,227.12851702281833,224.06392204371173,184.3483971304027,224.06392538693268,227.12913073654002,184.348504215218,184.3483556454851,184.3484706543345,208.68130604160456,0.17180755193722977,0.1322981696538533,0.6022343438641625,0.1322986370223259,0.17181435283772448,0.6020522899365143,0.6015776880132525,0.6014016669774498,0.03824477889833703
1258.5119798234552,227.9281632663232,224.85461670377862,184.99946932191943,224.85462016430427,227.92904272135988,184.99954996842936,184.99924375715793,184.9993344804423,209.43352293821425,0.17300409470857755,0.13113569782152526,0.6011995241018031,0.13113598244278685,0.1729403637356032,0.6010348569507616,0.6006004156069823,0.6004418293849074,0.038863725566898925
1256.9269521410579,228.72484431656193,225.64264661565576,185.65061655112743,225.64265135048495,228.72560091886984,185.650690045463,185.65030940891228,185.65039489009212,210.15209918135446,0.17440699902617468,0.13006478189188003,0.600439913368571,0.13006456872291308,0.17429837281837524,0.600297674575721,0.5999477702362909,0.5998108115989434,0.0393851655446239
1255.3459119496854,229.51778919410344,226.42847640021031,186.30209574590646,226.42848293134256,229.51805114556637,186.30218325468363,186.30182883054442,186.30192932800955,210.85748186854522,0.17538189835705092,0.12922879290609415,0.5999860168217197,0.12922798044432365,0.1752571201317331,0.5998635816459054,0.5995975758884741,0.599478897225704,0.03956825719901208
1253.7688442211054,230.30876190021445,227.21325101346704,186.9541992783461,227.21325928292725,230.30831420999948,186.95431600108205,186.95405257393696,186.95418152634005,211.57464694114734,0.17544023455121974,0.12871830582960686,0.599786831599679,0.1287170652271087,0.17532810865979573,0.5996745516628951,0.5994502467659761,0.5993398848269675,0.039441882174333774
1252.1957340025094,231.1007633947242,227.9985173133751,187.60718563163053,227.99852660530573,231.0996247941691,187.6073348953625,187.6071472315649,187.60730600921687,212.3253140933489,0.1745418510372307,0.12854947228385522,0.5996929803235088,0.128548100306636,0.17447125604905867,0.5995774524271424,0.599338201572068,0.5992233451596145,0.03932117888447177
