["E0",""]
["E1",""]
["W0",""]
("E0","mode 1",1,"E0",1,"transmission")
(500, 3)
2.3310515772344688e+14 1.6323913850606669e-01 2.1448676985588128e+02
2.3340555096793588e+14 1.6503533928923214e-01 2.1527841649939018e+02
2.3370594421242488e+14 1.6691779205058105e-01 2.1606680018550608e+02
2.3400633745691381e+14 1.6834858989656429e-01 2.1685155717387403e+02
2.3430673070140281e+14 1.6891721640766652e-01 2.1763452410494236e+02
2.3460712394589178e+14 1.6856904318038168e-01 2.1841873870400408e+02
2.3490751719038075e+14 1.6766613674292158e-01 2.1920685900900963e+02
2.3520791043486975e+14 1.6683385324957514e-01 2.1999967209050618e+02
2.3550830367935872e+14 1.6664780873038668e-01 2.2079546077823267e+02
2.3580869692384769e+14 1.6732523009349584e-01 2.2159084390548134e+02
2.3610909016833669e+14 1.6861787245985313e-01 2.2238280038831087e+02
2.3640948341282566e+14 1.6998279072795938e-01 2.2317052574891264e+02
2.3670987665731462e+14 1.7091442617513949e-01 2.2395588123393054e+02
2.3701026990180362e+14 1.7123166160194689e-01 2.2474231864937443e+02
2.3731066314629259e+14 1.7116714227742783e-01 2.2553298905600727e+02
2.3761105639078156e+14 1.7121499839799453e-01 2.2632896093250847e+02
2.3791144963527056e+14 1.7180755193722980e-01 2.2712851702281816e+02
2.3821184287975950e+14 1.7300409470857753e-01 2.2792816326632303e+02
2.3851223612424850e+14 1.7440699902617468e-01 2.2872484431656176e+02
2.3881262936873750e+14 1.7538189835705092e-01 2.2951778919410327e+02
2.3911302261322644e+14 1.7544023455121974e-01 2.3030876190021428e+02
2.3941341585771544e+14 1.7454185103723069e-01 2.3110076339472403e+02
2.3971380910220441e+14 1.7314037691109618e-01 2.3189601614480605e+02
2.4001420234669338e+14 1.7193775459912006e-01 2.3269427079345141e+02
2.4031459559118238e+14 1.7147549458217901e-01 2.3349255018283191e+02
2.4061498883567134e+14 1.7181511170219410e-01 2.3428688855485660e+02
2.4091538208016031e+14 1.7252888440614270e-01 2.3507507254265997e+02
2.4121577532464931e+14 1.7300147348990028e-01 2.3585837070059961e+02
2.4151616856913828e+14 1.7283262586056156e-01 2.3664113726972283e+02
2.4181656181362725e+14 1.7210615332052331e-01 2.3742870699053469e+02
2.4211695505811625e+14 1.7138149147005910e-01 2.3822463545276551e+02
2.4241734830260522e+14 1.7137446088448385e-01 2.3902853437652968e+02
2.4271774154709419e+14 1.7245934442771543e-01 2.3983599788015692e+02
2.4301813479158319e+14 1.7431692186547479e-01 2.4064126786828328e+02
2.4331852803607212e+14 1.7603112302478974e-01 2.4144092620781362e+02
2.4361892128056112e+14 1.7660062881103292e-01 2.4223582555406873e+02
2.4391931452505012e+14 1.7552225306820476e-01 2.4303025798589942e+02
2.4421970776953906e+14 1.7310400096474790e-01 2.4382927555512558e+02
2.4452010101402806e+14 1.7034064357720247e-01 2.4463543652130946e+02
2.4482049425851703e+14 1.6837205203848540e-01 2.4544646287266778e+02
2.4512088750300600e+14 1.6778555594858868e-01 2.4625579389004076e+02
2.4542128074749500e+14 1.6823304884936643e-01 2.4705658510890251e+02
2.4572167399198397e+14 1.6867147403197436e-01 2.4784622981348710e+02
2.4602206723647294e+14 1.6803713461659442e-01 2.4862784701065348e+02
2.4632246048096194e+14 1.6589383642097713e-01 2.4940841555104114e+02
2.4662285372545091e+14 1.6272441469854843e-01 2.5019525708209446e+02
2.4692324696993988e+14 1.5973785729316836e-01 2.5099214703978532e+02
2.4722364021442888e+14 1.5822270571564909e-01 2.5179649864200752e+02
2.4752403345891784e+14 1.5874091631748516e-01 2.5260023220873353e+02
2.4782442670340681e+14 1.6072230750295252e-01 2.5339515909025147e+02
2.4812481994789581e+14 1.6280953790327213e-01 2.5417870687175224e+02
2.4842521319238475e+14 1.6367642856459202e-01 2.5495537474636654e+02
2.4872560643687375e+14 1.6276596759981091e-01 2.5573414566240871e+02
2.4902599968136275e+14 1.6060723852406664e-01 2.5652421014867292e+02
2.4932639292585169e+14 1.5858347185510391e-01 2.5733018255097153e+02
2.4962678617034069e+14 1.5814377705889193e-01 2.5814837113266600e+02
2.4992717941482966e+14 1.5978467114080203e-01 2.5896781459204647e+02
2.5022757265931862e+14 1.6256746850511364e-01 2.5977738954076591e+02
2.5052796590380762e+14 1.6466856604770083e-01 2.6057301203274795e+02
2.5082835914829659e+14 1.6451278848016734e-01 2.6135899344006413e+02
2.5112875239278556e+14 1.6167383789507928e-01 2.6214465650244983e+02
2.5142914563727456e+14 1.5713041784689152e-01 2.6293935486631733e+02
2.5172953888176353e+14 1.5282502586429139e-01 2.6374699348839027e+02
2.5202993212625250e+14 1.5062934639054207e-01 2.6456192702387528e+02
2.5233032537074150e+14 1.5119675598757909e-01 2.6537105363001103e+02
2.5263071861523047e+14 1.5358166915582541e-01 2.6616305582074915e+02
2.5293111185971944e+14 1.5597324679142793e-01 2.6693630990129560e+02
2.5323150510420844e+14 1.5685279416023135e-01 2.6769903567595003e+02
2.5353189834869738e+14 1.5579449482389898e-01 2.6846461878772806e+02
2.5383229159318638e+14 1.5367972070554850e-01 2.6924589850707235e+02
2.5413268483767538e+14 1.5231634445579995e-01 2.7004887346955246e+02
2.5443307808216431e+14 1.5343643430889389e-01 2.7086766759240368e+02
2.5473347132665331e+14 1.5744220291534342e-01 2.7168691543252447e+02
2.5503386457114228e+14 1.6293580112017353e-01 2.7249289848692086e+02
2.5533425781563125e+14 1.6758586011416826e-01 2.7328284293246884e+02
2.5563465106012025e+14 1.6952726682707481e-01 2.7406489721070119e+02
2.5593504430460922e+14 1.6831676685503488e-01 2.7485258950148409e+02
2.5623543754909819e+14 1.6517690179528519e-01 2.7565807193237202e+02
2.5653583079358719e+14 1.6247764586336436e-01 2.7648484731202603e+02
2.5683622403807616e+14 1.6237673501805269e-01 2.7732287779287441e+02
2.5713661728256512e+14 1.6525539071970968e-01 2.7815340935259127e+02
2.5743701052705412e+14 1.6939856534512751e-01 2.7896268666583592e+02
2.5773740377154309e+14 1.7229252008792903e-01 2.7975059035810659e+02
2.5803779701603206e+14 1.7224272809927860e-01 2.8052832244658600e+02
2.5833819026052106e+14 1.6925441691877466e-01 2.8131169256902018e+02
2.5863858350501003e+14 1.6505676356762194e-01 2.8211396754232385e+02
2.5893897674949900e+14 1.6232130548298351e-01 2.8293796914682486e+02
2.5923936999398800e+14 1.6310506149921022e-01 2.8377137444593052e+02
2.5953976323847694e+14 1.6735206497997640e-01 2.8459406504183312e+02
2.5984015648296594e+14 1.7292059955605452e-01 2.8539397562279356e+02
